type,text,optionA,optionB,optionC,optionD,correctAnswer,tolerance,topic,marks,difficulty,explanation,imageUrl
mcq,"What word must be put in the box to complete the pattern? INTEND – TEND; FASTEN – FAST; HUMANE – MANE; CARTOON – ?",CART,CURT,NOON,TONE,A,,Word Patterns,1,medium,"Each pair hides a shorter real word made of consecutive letters of the first word: inTEND, FASTen, huMANE. CARTOON contains CART.",
mcq,"What word must be put in the box to complete the pattern? DAN – NAD; STAB – BATS; FLOW – WOLF; SLEEP – ?",SPELL,SLOPE,PEELS,PEALS,C,,Word Patterns,1,easy,"Each word is reversed: DAN→NAD, STAB→BATS, FLOW→WOLF. SLEEP reversed is PEELS.",
mcq,"Which word must be put in the box to complete the pattern? SAVE – VASE; RULE – LURE; GAPE – ?",CAPE,GAVE,PAGE,PAVE,C,,Word Patterns,1,medium,"The 4-letter word is re-ordered to positions 3-2-1-4: SAVE→VASE, RULE→LURE. GAPE→PAGE.",
mcq,"Which of the following words completes the pattern? TRAIL – LIAR; BOTTOM – MOTTO; BREED – DEER; TREES – ?",SEER,SERTS,SETS,STORE,A,,Word Patterns,1,medium,"Drop the first letter and reverse the rest: TRAIL→(RAIL)→LIAR, BREED→(REED)→DEER. TREES→(REES)→SEER.",
mcq,"What number should be put in the box to complete the series? 987, 876, 765, ?",654,664,754,764,A,,Number Series,1,easy,"Each term decreases: 987, 876, 765, 654 — every digit drops by one.",
mcq,"What comes NEXT in the series? 47, 56, 65, ?",72,74,75,83,B,,Number Series,1,easy,"Each term increases by 9: 47, 56, 65, 74.",
mcq,"In a friendly football match between Ndake and Nyaka, Ndake School was leading by 3 goals to 2. Nyaka School was however awarded a penalty and the match ended. What were the scores for the match?",3:2,3:3,4:2,4:3,B,,Logical Reasoning,1,medium,"Nyaka was 2 and scored the penalty, equalising at 3:3.",
mcq,"Which letters must be put in the box to complete the series? AZO, BYP, CXQ, ?, EVS",DWR,DRW,WDR,WRD,A,,Letter Series,1,medium,"1st letters A,B,C,D,E; 2nd letters Z,Y,X,W,V; 3rd letters O,P,Q,R,S — so the missing group is DWR.",
mcq,"CHICKEN is to CHICK as PIG is to ...",CALF,KID,PIGLET,PUPPY,C,,Analogies,1,easy,"The young of a chicken is a chick; the young of a pig is a piglet.",
mcq,"Lunch ALWAYS has ...",cutlery.,dessert.,meal.,snack.,C,,Always Has,1,easy,"Lunch is by definition a meal; cutlery, dessert and snacks are not essential to it.",
mcq,"Three of the following are ALIKE in some way, which one is DIFFERENT?",BREAD,CASSAVA,MAIZE,MILLET,A,,Classification,1,medium,"Cassava, maize and millet are raw crops; bread is a processed product.",
mcq,"If SPINDLE is 1234567 then SLIDE is ...",12345.,16357.,16375.,34567.,B,,Coding,1,medium,"S=1, P=2, I=3, N=4, D=5, L=6, E=7. SLIDE = S(1) L(6) I(3) D(5) E(7) = 16357.",
mcq,"COMBINE is to SEPARATE as DESTROY is to ...",CREATE.,CRUSH.,ERASE.,SMASH.,A,,Analogies,1,easy,"Combine and separate are opposites; the opposite of destroy is create.",
mcq,"Which letters must be put in the box to complete the series? RQDS, RPFT, ?, RNJV",RNHT,ROHU,RHOT,RNHU,B,,Letter Series,1,hard,"1st R,R,R,R; 2nd Q,P,O,N; 3rd D,F,H,J; 4th S,T,U,V — so the missing group is ROHU.",
mcq,"If 1233435 is SLEEPER, then PEER is ...",1335.,4335.,4235.,5331.,B,,Coding,1,medium,"S=1, L=2, E=3, P=4, R=5. PEER = P(4) E(3) E(3) R(5) = 4335.",
mcq,"CHURCH is to PRAY as LABORATORY is to ...",BLOOD.,EXPERIMENT.,MEDICINE.,SPECIMEN.,B,,Analogies,1,easy,"A church is the place where you pray; a laboratory is the place where you experiment.",
mcq,"There was a school competition at Kaoma Secondary School. Chileshe ran faster than Mary. Bupe and Mpundu came last. Who came second?",Bupe,Chileshe,Mary,Mpundu,C,,Logical Reasoning,1,medium,"Chileshe was first (faster than Mary), Bupe and Mpundu came last, so Mary came second.",
mcq,"Mary likes Rhumba and Reggae but does not like Gospel. John likes Gospel and Rhumba but does not like Reggae. Peter likes Reggae and Gospel but does not like Rhumba. Charity likes only Gospel. Who likes both Gospel and Rhumba?",Charity,John,Mary,Peter,B,,Logical Reasoning,1,medium,"Only John is stated to like both Gospel and Rhumba.",
mcq,"If SILICATE is 12324567, then 1753 is ...",LATE,SALE,SEAL,TEAL,C,,Coding,1,medium,"S=1, I=2, L=3, C=4, A=5, T=6, E=7. 1753 = S(1) E(7) A(5) L(3) = SEAL.",
mcq,"Three of the following are ALIKE in some way, which one is DIFFERENT?",CHAPEL,COLLEGE,SCHOOL,UNIVERSITY,A,,Classification,1,easy,"College, school and university are places of learning; a chapel is a place of worship.",
mcq,"MEETING is to ATTEND as VIDEO is to ...",CINEMA,PICTURE,PLAY,WATCH,D,,Analogies,1,easy,"You attend a meeting; you watch a video.",
mcq,"Which word would come LAST if the words were arranged in ALPHABETICAL order?",GOBBLE,GOODISH,GOLDEN,GOSSIP,D,,Alphabetical Order,1,medium,"In order: GOBBLE, GOLDEN, GOODISH, GOSSIP. GOSSIP comes last.",
mcq,"What number must be put in the box to complete the series? 15 - 30 - 60 - ? - 240",70,90,100,120,D,,Number Series,1,easy,"Each term doubles: 15, 30, 60, 120, 240.",
mcq,"In a Ngoma Dance Club, women performed better than men who performed better than boys. Girls were not as good as men. Which group of people performed best?",Boys,Girls,Men,Women,D,,Logical Reasoning,1,medium,"Women > men > boys, and girls were below men, so women performed best.",
mcq,"Which of the following would come SECOND if the words were arranged in ALPHABETICAL order?",TARSUS,TARGET,TARMAC,TARSAL,C,,Alphabetical Order,1,medium,"In order: TARGET, TARMAC, TARSAL, TARSUS. TARMAC comes second.",
mcq,"Marriage ALWAYS has a ...",dance.,feast.,fight.,mate.,D,,Always Has,1,medium,"A marriage always involves a mate (spouse); a dance, feast or fight is not essential.",
mcq,"If RETRACT is to 1231453, then CREATE is ...",314532,312432,512432,513453,C,,Coding,1,medium,"R=1, E=2, T=3, A=4, C=5. CREATE = C(5) R(1) E(2) A(4) T(3) E(2) = 512432.",
mcq,"A planet ALWAYS has ...",size.,light.,life.,air.,A,,Always Has,1,medium,"Every planet has a size; not all have their own light, life or air.",
mcq,"Three of the following are ALIKE in some way, which one is DIFFERENT?",DINNER,LUNCH,MENU,SUPPER,C,,Classification,1,easy,"Dinner, lunch and supper are meals; a menu is the list of dishes.",
mcq,"If two oranges and two bananas cost K24.00, what is the cost of two oranges only?",K4.00,K6.00,K8.00,K12.00,D,,Arithmetic,1,medium,"Taking oranges and bananas as equal in price, two oranges and two bananas cost K24.00, so two oranges cost K12.00. [REVIEW: assumes equal unit prices — confirm against official marking key]",
mcq,"DOCTOR is to PATIENT as CONDUCTOR is to ...",MONEY,PASSENGER,STATION,STRANGER,B,,Analogies,1,easy,"A doctor attends to a patient; a conductor attends to a passenger.",
mcq,"PHONE is to ... as MIRROR is to GLASS.",SCREEN,GAMES,CAMERA,BATTERY,A,,Analogies,1,medium,"A mirror's main viewing surface is glass; a phone's main viewing surface is the screen. [REVIEW: confirm against official marking key]",
mcq,"A lodge ALWAYS has ...",guests.,meals.,pools.,rooms.,D,,Always Has,1,easy,"A lodge always has rooms; guests, meals and pools are not guaranteed.",
mcq,"Which of the following words would come FIRST if they were arranged in ALPHABETICAL order?",CONVINCE,CONVICT,CONVOKE,CONVERT,D,,Alphabetical Order,1,medium,"After CONV the fourth letters are I, I, O, E; E is earliest, so CONVERT comes first.",
mcq,"DARK is to LIGHT as FADE is to ...",BRIGHT.,DISAPPEAR.,DISSOLVE.,VANISH.,A,,Analogies,1,medium,"Dark and light are opposites; the opposite of fade (grow dim) is bright.",
mcq,"Three of the following are ALIKE in some way, which one is DIFFERENT?",COBALT,COPPER,LEAD,ORE,D,,Classification,1,medium,"Cobalt, copper and lead are metals; ore is the rock from which metals are extracted.",
mcq,"Jim's aunt is Mrs Jones who has a daughter called Winnie. What relationship is Jim to Winnie?",BROTHER,COUSIN,NEPHEW,SISTER,B,,Logical Reasoning,1,medium,"Winnie is the daughter of Jim's aunt, so Winnie and Jim are cousins.",
mcq,"Which letters would complete the pattern? BZY, CXW, DVU, E?",TS,ST,SR,RS,A,,Letter Series,1,medium,"1st letters B,C,D,E; 2nd letters Z,X,V,T; 3rd letters Y,W,U,S — so E is followed by TS.",
mcq,"Which of the following words would come FIRST if they were arranged in ALPHABETICAL order?",SPECKLE,SPEAKER,SPANNER,SOVIET,D,,Alphabetical Order,1,medium,"SOVIET starts with SO while the others start with SP; SO precedes SP, so SOVIET comes first.",
mcq,"What comes NEXT in the series? 6238, 2386, 3862, ?",4862,5623,6624,8623,D,,Number Series,1,medium,"The first digit moves to the end each time: 6238→2386→3862→8623.",
mcq,"Ruth is pretty. Jane is not as pretty as Betty but prettier than Ruth and Susan. Who is the prettiest?",BETTY,JANE,RUTH,SUSAN,A,,Logical Reasoning,1,medium,"Betty is prettier than Jane, and Jane is prettier than Ruth and Susan, so Betty is the prettiest.",
mcq,"Which of the following words would come FOURTH if they were arranged in ALPHABETICAL order?",CLARINET,CLAQUE,CLARITY,CLARIFY,C,,Alphabetical Order,1,hard,"In order: CLAQUE, CLARIFY, CLARINET, CLARITY. CLARITY comes fourth.",
mcq,"Mubita's car used 6 litres of petrol to cover a distance of 60 kilometres. How many litres of petrol will the same car use to cover 360 kilometres?",12 litres,18 litres,36 litres,60 litres,C,,Arithmetic,1,medium,"360 km is 6 times 60 km, so it needs 6 x 6 = 36 litres.",
mcq,"Which of the following words would come SECOND if they were arranged in ALPHABETICAL order?",CLUMSY,CLUTTER,CLUTCH,CLUSTER,D,,Alphabetical Order,1,hard,"In order: CLUMSY, CLUSTER, CLUTCH, CLUTTER. CLUSTER comes second.",
mcq,"Three of the following are ALIKE in some way, which one is DIFFERENT?",START,COMPLETE,COMMENCE,BEGIN,B,,Classification,1,easy,"Start, commence and begin all mean to begin; complete means to finish.",
mcq,"A cloud ALWAYS has ...",rainfall.,season.,storm.,vapour.,D,,Always Has,1,medium,"A cloud is always made up of water vapour; rainfall, season and storm are not guaranteed.",
mcq,"If Q, R, S, T are arranged in COLUMN A and W, X, Y, Z are arranged in COLUMN B. Which letter will be direct OPPOSITE to letter S?",Z,Y,X,W,B,,Logical Reasoning,1,medium,"S is the 3rd letter in Column A (Q,R,S,T); the 3rd letter in Column B (W,X,Y,Z) is Y.",
mcq,"BELOW is to ABOVE as COOL is to ...",COLD.,CHILLY.,FRESH.,WARM.,D,,Analogies,1,easy,"Below and above are opposites; the opposite of cool is warm.",
mcq,"VAST is to TINY as EMBRACE is to ...",WELCOME.,REJECT.,ADOPT.,ACCEPT.,B,,Analogies,1,medium,"Vast and tiny are opposites; the opposite of embrace (accept) is reject.",
mcq,"COMMON is to RARE as GLOOMY is to ...",CHEERFUL.,HUMBLE.,RESERVED.,STUBBORN.,A,,Analogies,1,medium,"Common and rare are opposites; the opposite of gloomy is cheerful.",
